ID,Track ID,song_title,artist,speechiness,key,acousticness,loudness,mode,energy,danceability,liveness,time_signature,tempo,language,weather,time_of_day
1,24LASg8afs2Zj2tVU1kmfw,Naguva Nayana,S. Janaki|S. P. Balasubrahmanyam,0.093,8.0,0.11,-7.552,0.0,0.444,0.53,0.8,4.0,133.899,Kannada,Clear,Night
2,7sCrCBNwxZuYmHU8XPpSOU,Ellelli Nodali,S. Janaki|Dr. Rajkumar,0.0615,0.0,0.361,-13.317,0.0,0.695,0.66,0.511,4.0,130.0,Kannada,Cloudy,Evening
3,6zYkmdUoOuLTICCBLlgzQk,Chinnada Mallige Hoove,S. Janaki|Dr. Rajkumar,0.06,4.0,0.42,-6.833,0.0,0.472,0.58,0.6,4.0,168.01,Kannada,Clear,Night
4,51ETMPDcKsIdyTSYMAlScU,Premalokadinda,K J Yesudas|S. Janaki,0.0595,1.0,0.037,-6.416,0.0,0.258,0.14,0.237,4.0,123.004,Kannada,Foggy,Night
5,0llH43HuoDbjNrs9gJtVXd,Preethiyalli Iro Sukha,S. P. Balasubrahmanyam|Manjula Gururaj,0.001,1.0,0.56,-3.596,1.0,0.584,0.8,0.8,4.0,113.973,Kannada,Clear,Evening
6,538tof4eWwicKoqUnleuch,Idu Nanna Ninna Prema Geethe,S. P. Balasubrahmanyam|S. Janaki,0.06,11.0,0.936,-7.34,0.0,0.315,0.03,0.041,4.0,104.972,Kannada,Rainy,Morning
7,11F5k8c6CXSOQn0HzAXDbg,Cheluve Ondu Kelthini,S. P. Balasubrahmanyam|S. Janaki,0.05,5.0,0.72,-11.078,0.0,0.076,0.29,0.4,4.0,120.04,Kannada,Rainy,Morning
8,6wG9C6anlVmObXsjF74pk3,Baani Gondu Elle,Dr. Rajkumar,0.0809,11.0,0.874,-10.803,0.0,0.738,0.0,0.629,4.0,183.822,Kannada,Clear,Night
9,0YuyNbsVFUC5HP2XSMmljb,Nagu Endhidhe,S. Janaki,0.0073,10.0,0.96,-12.081,0.0,0.019,0.37,0.7,4.0,150.933,Kannada,Rainy,Morning
10,3rz2Fz3oYUuUYIsHO5Tklj,Harivarasanam Sharanam Ayyappa,K J Yesudas,0.09,0.0,0.583,-13.057,1.0,0.182,0.38,0.352,4.0,147.558,Kannada,Foggy,Night
11,27x642yY4A4XEwbTb4NApx,Nee Bandu Ninthaaga,P.B. Sreenivas|P. Susheela,0.0535,0.0,0.78,-6.573,1.0,0.431,0.53,0.7,4.0,124.01,Kannada,Clear,Night
12,0ln6L6vLHEyVvbGHis4mrF,Aadisinodu Beelisinodu,P.B. Sreenivas,0.078,2.0,0.717,-4.682,1.0,0.267,0.92,0.96,4.0,150.032,Kannada,Rainy,Morning
13,2CrW7hxiiIhgCyxJDYZlLH,Hrudayadali Idenidhu,Dr. Rajkumar|Manjula Gururaj,0.09,5.0,0.54,-2.661,0.0,0.938,0.45,0.8,4.0,170.198,Kannada,Stormy,Evening
14,5gDHLALTna9J8GQTuQ3TBF,Ee Nimbe Hanninantha,Ramesh,0.08,5.0,0.63,-5.964,1.0,0.411,0.53,0.869,4.0,154.026,Kannada,Clear,Night
15,3IomSTI8wQ62qWyxKvsors,Mooru Kaasina Kudure,Ramesh,0.01,1.0,0.06,-11.896,1.0,0.24,0.19,0.6,4.0,115.999,Kannada,Foggy,Night
16,0z07XNDGOWgGvPJpEQTOyQ,Neerabittu Nelada Mele,S. P. Balasubrahmanyam,0.01,4.0,0.606,-4.48,0.0,0.252,0.17,0.068,4.0,119.953,Kannada,Rainy,Night
17,6x2WwLbdurnqOH8hBYtGd6,Nooru Kannu Saladu,P.B. Sreenivas|S. P. Balasubrahmanyam,0.0151,1.0,0.65,-4.136,1.0,0.943,0.33,0.5,4.0,200.064,Kannada,Stormy,Night
18,0Uq5bCgatZqMjavMuHuTiI,Thanuvu Manavu,S. Janaki|Dr. Rajkumar,0.0,2.0,0.676,-10.034,1.0,0.194,0.14,0.524,4.0,160.12,Kannada,Rainy,Night
19,4cBnZ0kg5ZHnTdINX7wpR8,Jo Jo Laali Naa Haaduve,K J Yesudas,0.03,11.0,0.18,-9.201,0.0,0.703,0.29,0.4,4.0,106.903,Kannada,Cloudy,Night
20,6CadlMloVr8qUrYMAwbl2g,Ondaanondu Kaaladalli,Ramesh|P. Susheela,0.011,1.0,0.351,-12.192,1.0,0.29,0.14,0.57,4.0,155.044,Kannada,Foggy,Night
21,2nLh92mONDTsqpPp4FyKvd,Geleyare Nanna Geleyare,S. P. Balasubrahmanyam,0.043,5.0,1.0,-4.25,1.0,0.887,0.45,0.5,4.0,114.268,Kannada,Clear,Evening
22,3UwKSZMja4eZSxeWjsMYAs,Nagunagutha Nee Baruve,S. Janaki|Dr. Rajkumar,0.0041,3.0,0.695,-8.004,0.0,0.881,0.9,0.11,4.0,112.522,Kannada,Sunny,Evening
23,2XW0xTVFYdmqstodhvDI9f,Yare Koogadali Oore Horaadali,Dr. Rajkumar,0.0,9.0,0.0,-2.741,0.0,0.807,0.77,0.3,4.0,196.086,Kannada,Sunny,Evening
24,0WprsyOK3rl9tGXBZrDlkS,Yaavudo Ee Bombe,S. P. Balasubrahmanyam,0.05,1.0,0.661,-7.7,1.0,0.34,0.64,0.536,4.0,203.852,Kannada,Rainy,Night
25,27lJIfwTUUhzg9c6S3KFLT,Ninna Nanna,Dr. Rajkumar,0.06,1.0,0.87,-6.642,0.0,0.205,0.72,0.1,4.0,118.022,Kannada,Rainy,Morning
26,4ykOVp86VmKSOGI4UWoX1V,Yaare Neenu Sundara Cheluve,S. P. Balasubrahmanyam|S. Janaki,0.0927,11.0,0.471,-3.266,1.0,0.165,0.56,0.788,4.0,132.076,Kannada,Clear,Night
27,7EvrE8hlyIaNyf4Zq7IWEb,Naa Ninna Mareyalaare,S. Janaki|Dr. Rajkumar,0.05,8.0,0.24,-13.037,1.0,0.317,0.34,0.3,4.0,199.99,Kannada,Foggy,Night
28,2clQXkxceUH8AUBSXk4qpd,Thamnnam Thamnam,S. Janaki|P.B. Sreenivas,0.007,8.0,0.072,-11.847,1.0,0.384,0.95,0.784,4.0,181.02,Kannada,Clear,Night
29,4uHTx5vGr9SHoFuYdiqJEb,Thai Thai Bangari,Dr. Rajkumar,0.02,1.0,0.282,-13.695,0.0,0.516,0.66,0.197,4.0,161.027,Kannada,Cloudy,Evening
30,6WtieyTwsFTy03gc4wXE9m,Aadisidaatha Besara Moodi,G.K.Venkatesh,0.08,2.0,0.53,-7.483,1.0,0.41,0.94,0.3,4.0,114.97,Kannada,Clear,Night
31,0KT3g8RaGbdUufSb8GTsMd,Nanna Aase Hannage,S. Janaki|S. P. Balasubrahmanyam,0.06,1.0,0.289,-9.882,0.0,0.85,0.91,0.739,4.0,141.044,Kannada,Sunny,Evening
32,6SQU9oP4PkHf3N8YH0FTeA,Ninade Nenapu Dinavu,P.B. Sreenivas,0.0512,8.0,0.54,-2.934,1.0,0.122,0.98,0.7,4.0,139.949,Kannada,Clear,Night
33,2xVswBaTDPERcFXRNWLHfE,Geethanjali Pushpanjali,S. P. Balasubrahmanyam|K. S. Chithra,0.04,10.0,0.9,-10.259,0.0,0.115,0.53,0.9,4.0,163.226,Kannada,Rainy,Morning
34,2uqfi0zgsfAnLnKh2h98tE,Endendu Ninnanu Maretu,Vani Jairam|P.B. Sreenivas,0.008,7.0,0.385,-3.75,0.0,0.177,0.12,0.758,4.0,142.39,Kannada,Foggy,Night
35,0mdu5rkngKCjxwiYWyEd6I,Besuge Besuge,Vani Jairam|S. P. Balasubrahmanyam,0.06,0.0,0.01,-11.895,1.0,0.582,0.22,0.1,4.0,135.816,Kannada,Cloudy,Night
36,4Kdb7h6j9cZVGeBzdaP5AB,Cheluveya Andada,S. P. Balasubrahmanyam,0.0643,1.0,0.971,-11.606,1.0,0.005,0.75,0.467,4.0,113.629,Kannada,Rainy,Morning
37,2lzcOb7hsfE8VQGf3YWbGK,Meenakshi Ninna Kanna Mele,S. P. Balasubrahmanyam,0.06,6.0,0.68,-6.345,0.0,0.786,0.32,0.6,4.0,196.018,Kannada,Clear,Night
38,54fmIwdnEWRAyqXZ7eneOx,Muthinantha Mathondu,Dr. Rajkumar,0.05,5.0,0.938,-11.422,0.0,0.945,0.55,0.697,4.0,119.95,Kannada,Clear,Evening
39,2HqvauufuQ4md9kzEJ7Of6,Sangeethave Nee Nudiyuna Maathella,S. Janaki|Dr. Rajkumar,0.057,0.0,0.1,-4.352,1.0,0.077,0.8,0.2,4.0,145.915,Kannada,Clear,Night
40,5nPcNxreGshVBcAjegUw5e,Hosa Baalige,S. Janaki|S. P. Balasubrahmanyam,0.0,7.0,0.752,-4.202,0.0,0.431,0.81,0.704,4.0,148.01,Kannada,Clear,Night
41,5fRMI7TFQoGlzb1ZzKwYNZ,Sole Illa Ninna Haadu,S. P. Balasubrahmanyam|S. Janaki,0.05,9.0,0.6,-5.995,0.0,0.196,0.71,0.4,4.0,173.958,Kannada,Clear,Night
42,5W3TtOfc2iQIByCXGrZ1yU,Yaaru Thiliyaru Ninna,Dr. Rajkumar|P.B. Sreenivas,0.023,7.0,0.356,-11.241,0.0,0.741,0.89,0.569,4.0,158.984,Kannada,Sunny,Evening
43,7AJyrJ6p8eGcGTNubx6ZJO,Nee Iralu Jotheyalli,S. Janaki|S. P. Balasubrahmanyam,0.09,11.0,1.0,-12.309,0.0,0.676,0.89,1.0,4.0,144.966,Kannada,Clear,Evening
44,0eD5ifbVXtm9qiZypGrCYl,Nannaseyaa Hoove,S. Janaki|Dr. Rajkumar,0.02,11.0,0.092,-13.329,1.0,0.94,0.42,0.12,4.0,182.251,Kannada,Cloudy,Evening
45,1qkdRXx43DN4pU9w4Jy6w7,Aakaashadindha,S. P. Balasubrahmanyam,0.07,2.0,0.62,-2.238,1.0,0.015,0.44,0.8,4.0,151.958,Kannada,Rainy,Night
46,2Z8qcEyDfnaWkqvGvbpRwN,Naliva Gulabi Hoove,S. P. Balasubrahmanyam,0.05,8.0,0.743,-12.392,1.0,0.812,0.81,0.458,4.0,150.039,Kannada,Sunny,Afternoon
47,5BmuYW9Zo2Aqj0OeDbzVsF,Love Me Or Hate Me,Dr. Rajkumar,0.0458,7.0,0.83,-9.482,1.0,0.538,0.31,0.7,4.0,178.28,Kannada,Clear,Night
48,2Rke1ZLpIPwBQO8jvptSTI,Beladingalaagi Baa,Dr. Rajkumar,0.044,7.0,0.675,-8.314,0.0,0.682,0.75,0.129,4.0,189.004,Kannada,Clear,Evening
49,08Ts53dq2UxkxfoOdmHUlK,Baa Baaro Baaro Ranadheera,S. P. Balasubrahmanyam|S. Janaki,0.0,5.0,0.87,-3.825,0.0,0.119,0.23,0.8,4.0,160.0,Kannada,Rainy,Morning
50,0cK60zTtjeYB5NcawbqxBn,Aadona Neenu Naanu,P.B. Sreenivas,0.0598,6.0,0.039,-7.231,0.0,0.481,0.43,0.827,4.0,179.906,Kannada,Clear,Night
51,1ScSXvOV5HUohOzQuBGBVW,Ninna Kangala,Dr. Rajkumar,0.07,6.0,0.49,-4.856,1.0,0.822,0.84,0.1,4.0,114.044,Kannada,Sunny,Afternoon
52,0RlBix1pzHLigu50IkSRgC,My Name Is Raj,Dr. Rajkumar,0.091,7.0,0.284,-10.056,1.0,0.675,0.12,0.521,4.0,143.972,Kannada,Cloudy,Night
53,64SOMIBMMDUncDr3aBchbA,Preethi Maadabaaradu,S. P. Balasubrahmanyam|S. Janaki,0.039,10.0,0.45,-11.103,1.0,0.899,0.32,0.9,4.0,119.985,Kannada,Cloudy,Night
54,5ONu2q8VUE3tJ33JFLaUss,Yaava Huvvu Yaara Mudigo,S. P. Balasubrahmanyam,0.0503,0.0,0.695,-11.531,1.0,0.626,0.27,0.459,4.0,203.88,Kannada,Clear,Night
55,2bYC54tGjFNzCmIrXLVpy9,Kumkumaviruvude Hanegaagi,S. P. Balasubrahmanyam,0.01,5.0,0.43,-12.707,1.0,0.421,0.09,0.9,4.0,122.96,Kannada,Clear,Night
56,547YgTvgOz0TBKsYIuOWHQ,Ee Naada Anda,S. P. Balasubrahmanyam,0.013,2.0,0.576,-11.715,1.0,0.97,0.58,0.896,4.0,129.955,Kannada,Stormy,Evening
57,70XKT2EYVZ13f4mKAXaJY6,Entha Soundarya Nodu,S. P. Balasubrahmanyam,0.0348,9.0,0.64,-7.729,1.0,0.588,0.65,0.6,4.0,118.004,Kannada,Clear,Evening
58,2z4DXvv6TR6vP7zGX4snVB,Yaarivanu Ee Manmathanu,S. Janaki,0.04,9.0,0.37,-10.695,0.0,0.983,0.4,0.3,4.0,174.06,Kannada,Cloudy,Night
59,3ceK1j6JBP5HBJf8Q3Z8P2,Hoovu Cheluvella Nandenditu,P. Susheela,0.006,2.0,0.479,-12.975,0.0,0.052,0.74,1.0,4.0,187.964,Kannada,Clear,Night
60,4k3b8eqCvMraVGEypGJsNP,Notadage Nageya Meeti,S. P. Balasubrahmanyam,0.056,1.0,0.31,-12.351,1.0,0.274,0.75,0.1,4.0,195.958,Kannada,Clear,Night
61,2BacH0GjFxjYvtnPSesSqt,Hrudaya Rangoli,S. P. Sailaja,0.05,11.0,0.887,-3.054,1.0,0.31,0.4,0.738,4.0,188.03,Kannada,Rainy,Morning
62,2C0rYL7w5JeJQ8qIH38su0,Bandalo Bandalo Kanchana,S. P. Balasubrahmanyam|Manjula Gururaj,0.051,10.0,0.56,-7.759,1.0,0.424,0.66,0.6,4.0,120.13,Kannada,Clear,Night
63,2DE5QKQwT5w3vpW6Krwe4g,Neerinalli Alaya Ungura,P.B. Sreenivas|P. Susheela,0.07,4.0,0.174,-10.321,1.0,0.116,0.78,0.167,4.0,139.975,Kannada,Clear,Night
64,02GcBnRyLRjtHmXDHttbmA,Jeeva Veene,S. Janaki|S. P. Balasubrahmanyam,0.023,10.0,0.17,-9.181,0.0,0.875,0.92,0.6,4.0,168.008,Kannada,Sunny,Evening
65,73rUGwVFCp5kMeosqfbwLB,Naanu Neenu Ondada,S. Janaki|S. P. Balasubrahmanyam,0.0456,1.0,0.041,-12.355,0.0,0.621,0.74,0.132,4.0,175.96,Kannada,Cloudy,Evening
